Year,State,Sector,Customers,Price,Revenue,Sales
2019,DC,Residential,282277,12.98,330687,2546920
2019,DC,Transportation,3,9.5,33199,349546
2019,DE,Commercial,55802,9.53,421499,4421465
2019,DE,Industrial,865,7.7,157386,2043826
2019,DE,Residential,439167,12.55,627984,5004131
2019,DE,Transportation,0,0.0,0,0
2019,FL,Commercial,1240902,9.27,8950252,96566532
2019,FL,Industrial,23579,7.65,1263326,16514482
2019,FL,Residential,9565846,11.7,14882751,127181551
2019,FL,Transportation,2,8.32,7103,85390
2019,GA,Commercial,585573,10.02,4751931,47411823
2019,GA,Industrial,23539,6.17,1998924,32393384
2019,GA,Residential,4411521,11.76,6979149,59331491
2019,GA,Transportation,1,5.85,9608,164292
2019,HI,Commercial,59878,29.23,893824,3057866
2019,HI,Industrial,823,25.76,936272,3635247
2019,HI,Residential,438352,32.06,884847,2759774
2019,HI,Transportation,0,0.0,0,0
2019,IA,Commercial,241734,9.99,1230296,12309610
2019,IA,Industrial,8565,6.6,1599654,24238717
2019,IA,Residential,1392979,12.46,1805899,14494821
2019,IA,Transportation,0,0.0,0,0
2019,ID,Commercial,112137,7.67,493892,6440943
2019,ID,Industrial,28493,6.08,538026,8847489
2019,ID,Residential,763841,9.89,860048,8696843
2019,ID,Transportation,0,0.0,0,0
2019,IL,Commercial,622802,9.08,4475930,49278746
2019,IL,Industrial,5737,6.52,2821770,43250445
2019,IL,Residential,5314522,13.03,5890958,45220258
2019,IL,Transportation,3,6.91,39370,570032
2019,IN,Commercial,358791,11.03,2593902,23517681
2019,IN,Industrial,18805,7.36,3334726,45316682
2019,IN,Residential,2887031,12.58,4182919,33249234
2019,IN,Transportation,1,10.76,2218,20606
2019,KS,Commercial,235236,10.29,1637848,15916325
2019,KS,Industrial,24230,7.35,853134,11612642
2019,KS,Residential,1274955,12.71,1732742,13630661
2019,KS,Transportation,0,0.0,0,0
2019,KY,Commercial,309830,10.15,1990820,19611510
2019,KY,Industrial,6147,5.57,1624405,29160796
2019,KY,Residential,1991137,10.8,2869131,26573076
2019,KY,Transportation,0,0.0,0,0
2019,LA,Commercial,295153,8.91,2163564,24284298
2019,LA,Industrial,19373,5.23,1979112,37846317
2019,LA,Residential,2095466,9.8,3035095,30986024
2019,LA,Transportation,1,9.08,1079,11886
2019,MA,Commercial,410995,16.8,4255443,25336834
2019,MA,Industrial,11020,14.76,935805,6341699
2019,MA,Residential,2802099,21.92,4233106,19314571
2019,MA,Transportation,2,6.15,21138,343494
2019,MD,Commercial,256165,9.97,2879566,28893335
2019,MD,Industrial,8935,7.8,290022,3718412
2019,MD,Residential,2352535,13.12,3611327,27533693
2019,MD,Transportation,5,7.37,42367,575218
2019,ME,Commercial,99738,12.83,532119,4148305
2019,ME,Industrial,2893,9.22,257281,2789926
2019,ME,Residential,710869,17.89,857569,4793809
2019,ME,Transportation,0,0.0,0,0
2019,MI,Commercial,544690,11.39,4313039,37860783
