Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2014,CO,Total Electric Power Industry,All Sources,339.0,143.0,16709.5,14932.6
2014,CO,Total Electric Power Industry,Coal,28.0,14.0,5780.2,5281.8
2014,CO,Total Electric Power Industry,Hydroelectric,60.0,42.0,661.1,676.3
2014,CO,Total Electric Power Industry,Natural Gas,120.0,30.0,6790.0,5536.0
2014,CO,Total Electric Power Industry,Other,2.0,2.0,10.6,9.3
2014,CO,Total Electric Power Industry,Other Biomass,11.0,3.0,21.4,16.1
2014,CO,Total Electric Power Industry,Petroleum,48.0,13.0,202.7,168.4
2014,CO,Total Electric Power Industry,Pumped Storage,5.0,3.0,508.5,562.5
2014,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,30.0,22.0,129.6,127.0
2014,CO,Total Electric Power Industry,Wind,34.0,23.0,2594.1,2543.9
2014,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,1.0,1.0,11.3,11.3
2014,CT,"Combined Heat and Power, Electric Power",All Sources,5.0,2.0,149.2,119.2
2014,CT,"Combined Heat and Power, Electric Power",Natural Gas,5.0,2.0,149.2,119.2
2014,CT,Commercial Power,All Sources,25.0,13.0,90.1,80.9
2014,CT,Commercial Power,Natural Gas,20.0,11.0,71.1,64.6
2014,CT,Commercial Power,Other,1.0,1.0,5.0,4.9
2014,CT,Commercial Power,Other Biomass,1.0,1.0,11.0,8.4
2014,CT,Commercial Power,Petroleum,3.0,2.0,3.0,3.0
2014,CT,"Electric Generators, Electric Utilities",All Sources,30.0,14.0,171.3,160.8
2014,CT,"Electric Generators, Electric Utilities",Hydroelectric,3.0,2.0,9.4,9.0
2014,CT,"Electric Generators, Electric Utilities",Natural Gas,1.0,1.0,84.0,77.0
2014,CT,"Electric Generators, Electric Utilities",Petroleum,26.0,11.0,77.9,74.8
2014,CT,"Electric Generators, Independent Power Producers",All Sources,125.0,48.0,9128.4,8347.6
2014,CT,"Electric Generators, Independent Power Producers",Coal,1.0,1.0,400.0,383.4
2014,CT,"Electric Generators, Independent Power Producers",Hydroelectric,36.0,12.0,109.1,113.2
2014,CT,"Electric Generators, Independent Power Producers",Natural Gas,20.0,9.0,2997.8,2667.0
2014,CT,"Electric Generators, Independent Power Producers",Nuclear,2.0,1.0,2162.9,2122.5
2014,CT,"Electric Generators, Independent Power Producers",Other,1.0,1.0,31.3,26.0
