Year,State,Sector,Price,Customers,Sales,Revenue,Use_per_Customer,Total_Summer_Capacity,IPP_Capacity,Utility_Capacity,Renewable_Capacity,IPP_Share,Renewable_Share,Fossil_Capacity,Fossil_Share
2014,IN,Transportation,10.2,1,20506,2091,20506.0,109996.0,4075.4,46638.4,3661.6,0.07410087639550529,0.033288483217571545,49690.2,0.451745518018837
2014,KS,Commercial,10.13,226043,15382745,1558211,68.05229535973244,56906.4,5374.8,22935.4,5937.8,0.18889966682130657,0.10434327246144547,20119.800000000003,0.35355952933237744
2014,KS,Industrial,7.8,26787,11493909,896511,429.0853399036846,56906.4,5374.8,22935.4,5937.8,0.18889966682130657,0.10434327246144547,20119.800000000003,0.35355952933237744
2014,KS,Residential,12.17,1228858,13684952,1665583,11.136316807963166,56906.4,5374.8,22935.4,5937.8,0.18889966682130657,0.10434327246144547,20119.800000000003,0.35355952933237744
2014,KS,Transportation,0.0,0,0,0,,56906.4,5374.8,22935.4,5937.8,0.18889966682130657,0.10434327246144547,20119.800000000003,0.35355952933237744
2014,KY,Commercial,9.44,297182,19156540,1807976,64.4606335511572,83511.2,2659.0,38946.0,104.6,0.06368008123461284,0.0012525266072095718,39944.40000000001,0.47831189109963707
2014,KY,Industrial,5.68,7376,32282616,1832517,4376.710412147506,83511.2,2659.0,38946.0,104.6,0.06368008123461284,0.0012525266072095718,39944.40000000001,0.47831189109963707
2014,KY,Residential,10.16,1939489,27399768,2785001,14.127312915927856,83511.2,2659.0,38946.0,104.6,0.06368008123461284,0.0012525266072095718,39944.40000000001,0.47831189109963707
2014,KY,Transportation,0.0,0,0,0,,83511.2,2659.0,38946.0,104.6,0.06368008123461284,0.0012525266072095718,39944.40000000001,0.47831189109963707
2014,LA,Commercial,9.1,297789,24492775,2229210,82.24875666999117,106626.0,5703.8,36240.0,872.4,0.10698703880854576,0.008181869337684992,47161.2,0.4423048787350177
2014,LA,Industrial,6.05,19553,34723345,2099881,1775.857668899913,106626.0,5703.8,36240.0,872.4,0.10698703880854576,0.008181869337684992,47161.2,0.4423048787350177
2014,LA,Residential,9.57,2026223,31400683,3005472,15.49715060977987,106626.0,5703.8,36240.0,872.4,0.10698703880854576,0.008181869337684992,47161.2,0.4423048787350177
2014,LA,Transportation,9.27,1,11513,1068,11513.0,106626.0,5703.8,36240.0,872.4,0.10698703880854576,0.008181869337684992,47161.2,0.4423048787350177
2014,MA,Commercial,14.68,398717,26076208,3827051,65.40029143477705,52510.8,22463.0,1941.6,759.2,0.8555573329676942,0.014457978168300616,19582.4,0.3729213799827845
2014,MA,Industrial,12.74,14896,7960941,1014262,534.4348147153598,52510.8,22463.0,1941.6,759.2,0.8555573329676942,0.014457978168300616,19582.4,0.3729213799827845
2014,MA,Residential,17.39,2720128,20071160,3490569,7.3787557056138535,52510.8,22463.0,1941.6,759.2,0.8555573329676942,0.014457978168300616,19582.4,0.3729213799827845
2014,MA,Transportation,8.76,3,360983,31636,120327.66666666667,52510.8,22463.0,1941.6,759.2,0.8555573329676942,0.014457978168300616,19582.4,0.3729213799827845
2014,MD,Commercial,11.15,248362,29804342,3324584,120.00363179552427,49054.0,22851.0,170.0,446.0,0.9316671423329392,0.00909202103803971,19200.4,0.3914135442573491
2014,MD,Industrial,9.04,8780,3847954,347692,438.2635535307517,49054.0,22851.0,170.0,446.0,0.9316671423329392,0.00909202103803971,19200.4,0.3914135442573491
2014,MD,Residential,13.63,2234962,27487633,3746115,12.298926335212858,49054.0,22851.0,170.0,446.0,0.9316671423329392,0.00909202103803971,19200.4,0.3914135442573491
2014,MD,Transportation,8.5,5,543940,46246,108788.0,49054.0,22851.0,170.0,446.0,0.9316671423329392,0.00909202103803971,19200.4,0.3914135442573491
2014,ME,Commercial,12.7,91541,3984570,506147,43.527708895467605,17881.6,6863.6,20.0,2042.2,0.7676717967072298,0.11420678239083752,5306.0,0.2967295991410165
2014,ME,Industrial,8.95,3023,3357486,300412,1110.6470393648694,17881.6,6863.6,20.0,2042.2,0.7676717967072298,0.11420678239083752,5306.0,0.2967295991410165
2014,ME,Residential,15.27,706952,4660605,711813,6.592533863685229,17881.6,6863.6,20.0,2042.2,0.7676717967072298,0.11420678239083752,5306.0,0.2967295991410165
2014,ME,Transportation,0.0,0,0,0,,17881.6,6863.6,20.0,2042.2,0.7676717967072298,0.11420678239083752,5306.0,0.2967295991410165
2014,MI,Commercial,10.87,522422,37348927,4060031,71.49187247091432,121739.6,9711.6,44519.0,3196.2,0.15954709888976143,0.026254398733033455,44866.6,0.3685456498953504
2014,MI,Industrial,7.68,13289,32445935,2491113,2441.5633230491385,121739.6,9711.6,44519.0,3196.2,0.15954709888976143,0.026254398733033455,44866.6,0.3685456498953504
2014,MI,Residential,14.46,4273126,33514991,4846496,7.843202142880879,121739.6,9711.6,44519.0,3196.2,0.15954709888976143,0.026254398733033455,44866.6,0.3685456498953504
